Fecha_Captura,Ticker,Precio_Actual,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas,Volumen,Prom. volumen,Capitalización de mercado (intradía),Beta (5 años al mes),Ratio precio/beneficio (TMTM),BPA (TTM):,Fecha de beneficios,Previsión de rentabilidad y dividendo,Fecha de exdividendo,Objetivo est 1a
2026-03-10 01:25:56,TSLA,"398,68","396,73","390,05","398,25 x 300","399,05 x 200","381,40 - 401,58","214,25 - 498,83",66.410.328,65.459.388,"1,496B","1,93","369,15","1,08",21 abr 2026,--,--,"421,61"
2026-03-11 01:26:01,AAPL,"260,83","259,88","257,70","244,62 x 100","261,09 x 100","256,95 - 262,48","169,21 - 288,62",26.403.306,48.544.150,"3,834B","1,12","33,02","7,90",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"295,44"
2026-03-11 01:26:11,TSLA,"399,23","398,68","402,05","398,74 x 200","399,14 x 200","398,19 - 406,58","214,25 - 498,83",59.079.142,65.522.916,"1,498B","1,93","369,66","1,08",21 abr 2026,--,--,"421,61"
2026-03-12 01:25:49,AAPL,"260,81","260,83","261,21","247,96 x 100","274,36 x 100","259,55 - 262,13","169,21 - 288,62",25.826.274,48.499.306,"3,833B","1,12","33,01","7,90",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"295,44"
2026-03-12 01:26:00,TSLA,"407,82","399,23","402,22","407,34 x 200","408,09 x 200","402,15 - 416,38","214,25 - 498,83",62.101.725,65.579.974,"1,53B","1,93","370,75","1,10",21 abr 2026,--,--,"421,61"
2026-03-13 01:29:30,AAPL,"255,76","260,81","258,64","255,52 x 100","256,01 x 200","254,18 - 258,95","169,21 - 288,62",40.132.517,48.273.077,"3,759B","1,12","32,37","7,90",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"295,44"
2026-03-13 01:29:40,TSLA,"395,01","407,82","405,10","390,39 x 200","395,28 x 600","394,65 - 406,50","214,25 - 498,83",59.382.702,65.015.127,"1,482B","1,93","372,65","1,06",21 abr 2026,--,--,"421,61"
2026-03-14 01:27:54,AAPL,"250,12","255,76","255,40","240,00 x 100","250,65 x 300","249,52 - 256,33","169,21 - 288,62",34.193.754,48.148.690,"3,676B","1,12","31,66","7,90",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-14 01:28:04,TSLA,"391,20","395,01","399,17","391,86 x 100","391,65 x 100","389,95 - 400,16","214,25 - 498,83",57.370.326,64.950.101,"1,468B","1,93","365,61","1,07",21 abr 2026,--,--,"421,61"
2026-03-15 01:53:30,AAPL,"250,12","255,76","255,40","240,00 x 100","250,65 x 300","249,52 - 256,33","169,21 - 288,62",34.193.754,47.924.558,"3,676B","1,12","31,66","7,90",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-15 01:53:39,TSLA,"391,20","395,01","399,17","391,86 x 100","391,65 x 100","389,95 - 400,16","214,25 - 498,83",57.370.326,64.016.690,"1,468B","1,93","355,64","1,10",21 abr 2026,--,--,"421,61"
2026-03-16 01:54:39,AAPL,"250,12","255,76","255,40","240,00 x 100","250,65 x 300","249,52 - 256,33","169,21 - 288,62",36.929.988,48.098.727,"3,676B","1,12","31,66","7,90",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-16 01:54:47,TSLA,"391,20","395,01","399,17","391,86 x 100","391,65 x 100","389,95 - 400,16","214,25 - 498,83",58.504.091,63.277.852,"1,468B","1,93","355,64","1,10",21 abr 2026,--,--,"421,61"
2026-03-17 01:43:42,AAPL,"252,82","250,12","252,10","252,50 x 400","252,96 x 100","249,88 - 253,88","169,21 - 288,62",30.091.880,48.098.727,"3,716B","1,12","32,04","7,89",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,44"
2026-03-17 01:43:51,TSLA,"395,56","391,20","396,12","395,32 x 200","395,73 x 200","394,42 - 403,73","214,25 - 498,83",57.799.658,63.277.852,"1,484B","1,93","369,68","1,07",21 abr 2026,--,--,"421,61"
2026-03-18 01:47:54,AAPL,"254,23","252,82","253,08","253,86 x 200","265,62 x 100","252,18 - 255,13","169,21 - 288,62",27.556.024,47.466.349,"3,737B","1,12","32,06","7,93",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,44"
2026-03-18 01:48:03,TSLA,"399,27","395,56","395,69","398,49 x 200","399,28 x 200","393,00 - 400,12","214,25 - 498,83",46.052.732,61.640.223,"1,498B","1,93","369,69","1,08",21 abr 2026,--,--,"421,61"
